St	Category	4/80cen	7/81	7/82	7/83	7/84	7/85	7/86	7/87	7/88	7/89
US	POPULATION	226545805	229465714	231664458	233791994	235824902	237923795	240132887	242288918	244498982	246819230
US	CHANGE	2919909	2198744	2127536	2032908	2098893	2209092	2156031	2210064	2320248	1890643
US	%CHANGE	1.29	0.96	0.92	0.87	0.89	0.93	0.9	0.91	0.95	0.77
US	BIRTHS	4492372	3665896	3681245	3614016	3731164	3765546	3782283	3849412	3947890	3076428
US	DEATHS	2471643	1968365	1998559	2033124	2068679	2091359	2105024	2163984	2161764	1637394
US	RESIDUAL	899180	501213	444850	452015	436408	534905	478771	524636	534121	451609
AL	POPULATION	3893888	3918531	3925266	3934102	3951820	3972523	3991569	4015264	4023844	4030222
AL	CHANGE	24643	6735	8836	17719	20702	19046	23695	8580	6378	10365
AL	%CHANGE	0.63	0.17	0.23	0.45	0.52	0.48	0.59	0.21	0.16	0.26
AL	BIRTHS	77796	61142	60099	58480	59728	59736	59542	60034	61364	47826
AL	DEATHS	44094	35089	35323	36128	37206	37650	37623	38801	39221	29820
AL	RESIDUAL	-9059	-19318	-15940	-4633	-1819	-3040	1776	-12652	-15764	-7641
AK	POPULATION	401851	418491	449606	488417	513702	532495	544268	539309	541983	547159
AK	CHANGE	16640	31115	38811	25285	18793	11773	-4959	2674	5177	2884
AK	%CHANGE	4.14	7.44	8.63	5.18	3.66	2.21	-0.91	0.5	0.96	0.53
AK	BIRTHS	12234	10819	11796	12210	12787	12589	11948	11431	11358	8869
AK	DEATHS	2168	1771	1866	1952	2044	2110	2091	2077	2069	1585
AK	RESIDUAL	6573	22067	28880	15027	8049	1294	-14816	-6679	-4112	-4400
AZ	POPULATION	2718215	2810107	2889861	2968925	3067135	3183538	3308262	3437103	3535183	3622185
AZ	CHANGE	91892	79754	79065	98210	116403	124724	128841	98079	87003	43043
AZ	%CHANGE	3.38	2.84	2.74	3.31	3.8	3.92	3.89	2.85	2.46	1.19
AZ	BIRTHS	62951	52317	53127	53500	57523	60249	62112	64338	66079	51294
AZ	DEATHS	26543	21594	22280	23243	24323	25020	26004	27367	28107	21722
AZ	RESIDUAL	55483	49031	48217	67952	83203	89495	92732	61108	49030	13470
AR	POPULATION	2286435	2293201	2294257	2305761	2319768	2327046	2331984	2342355	2342656	2346358
